userWallet,total_txns,total_usd,avg_usd_value,std_usd_value,active_days,last_txn_days_ago,borrow_ratio,repay_ratio,deposit_ratio,redeem_ratio,liquidation_ratio,unique_actions,credit_score
0x00000000001accfa9cef68cf5371a23025b6d4b6,1,1987.6636548592714,1987.6636548592714,,1,1431,0.0,0.0,1.0,0.0,0.0,1,131
0x000000000051d07a4fb3bd10121a343d85818da6,1,285694480361492.7,285694480361492.7,,1,1520,0.0,0.0,1.0,0.0,0.0,1,212
0x000000000096026fb41fc39f9875d164bd82e2dc,2,5152310624.158186,2576155312.079093,2338795358.8847265,2,1447,0.0,0.0,1.0,0.0,0.0,1,214
0x0000000000e189dd664b9ab08a33c4839953852c,17,980360031666459.6,57668237156850.56,152706177188676.53,8,1421,0.0,0.0,0.0,1.0,0.0,1,76
0x0000000002032370b971dabd36d72f3e5a7bf1ee,399,3.797494719848251e+17,951753062618609.2,3360239638434753.0,104,1416,0.03759398496240601,0.010025062656641603,0.6265664160401002,0.3258145363408521,0.0,4,326
0x000000000a38444e0a6e37d3b630d7e855a7cb13,25,2.300808111389683e+16,920323244555873.2,1939971378667133.2,15,1458,0.32,0.2,0.28,0.2,0.0,4,260
0x000000003853fcedcd0355fec98ca3192833f00b,8,76376315604.972,9547039450.6215,9226298166.900515,4,1439,0.0,0.0,1.0,0.0,0.0,1,218
0x000000003ce0cf2c037493b1dc087204bd7f713e,492,8.908806796796657e+17,1810733088779808.2,5098573105370056.0,108,1415,0.06097560975609756,0.032520325203252036,0.6280487804878049,0.2784552845528455,0.0,4,325
0x000000007858e6f2668e1e06111cfa24403a5466,1,142160666481.45407,142160666481.45407,,1,1503,0.0,0.0,1.0,0.0,0.0,1,212
0x00000001a0f57e850c9db68b4a9bc34677437c5c,1,1.7666525037857388,1.7666525037857388,,1,1456,0.0,0.0,1.0,0.0,0.0,1,112
0x0000000506063a51c6ce59906d8c40f7d7fe92a7,69,2.796135272799092e+18,4.0523699605783944e+16,4.804793279848796e+16,3,1509,0.34782608695652173,0.13043478260869565,0.37681159420289856,0.14492753623188406,0.0,4,211
0x00000029ff545c86524ade7caf132527707948c4,47,9.99115430207843e+18,2.1257775110805168e+17,3.299288537457748e+17,2,1554,0.2553191489361702,0.2553191489361702,0.2553191489361702,0.23404255319148937,0.0,4,249
0x00000087c4cebffb95746d1935de7fbcab092f40,250,4.653640545421355e+16,186145621816854.22,1395084330906770.8,19,1415,0.248,0.18,0.344,0.228,0.0,4,268
0x000000e28faa823d5b53ff6c2922c28335840375,297,1.0141980241541861e+19,3.4148081621353068e+16,5.311934237562384e+16,61,1415,0.2222222222222222,0.21212121212121213,0.3602693602693603,0.2053872053872054,0.0,4,346
0x000006eee6e39015cb523aebdd4d0b1855aba682,28,1.3913863045762616e+17,4969236802058077.0,7824181534651180.0,12,1514,0.14285714285714285,0.03571428571428571,0.39285714285714285,0.32142857142857145,0.10714285714285714,5,166
0x00000a9c78912badb92d73b6ed26456e11def5eb,1,1.6927543127773312,1.6927543127773312,,1,1454,0.0,0.0,1.0,0.0,0.0,1,112
0x00001bc47f0973f794f79c16121cee879e272d6a,4,53501.44012314356,13375.36003078589,108.27396965676412,4,1438,0.0,0.0,0.0,1.0,0.0,1,68
0x00002b503a75998c97508916a74fdb41934fa030,147,4.916297965137644e+18,3.3444203844473764e+16,8.451807698595107e+16,35,1415,0.3197278911564626,0.30612244897959184,0.1836734693877551,0.19047619047619047,0.0,4,301
0x0000897253cc85f7547317eb2080b36b3255687a,2,931718162095154.8,465859081047577.4,461996727374.23254,2,1428,0.0,0.0,0.5,0.5,0.0,2,224
0x0000b252c943089fbba5554a1d196ef79bc77e4f,1,1.116218296466259,1.116218296466259,,1,1454,0.0,0.0,1.0,0.0,0.0,1,112
0x0000ce08fa224696a819877070bf378e8b131acf,14,2752414713056825.5,196601050932630.4,412598363511819.75,8,1459,0.07142857142857142,0.0,0.21428571428571427,0.7142857142857143,0.0,3,167
0x00010a708585ba4812a1c5976182626c75cb7a6b,29,1770176221970117.8,61040559378279.92,135489155815666.62,11,1420,0.20689655172413793,0.2413793103448276,0.3103448275862069,0.2413793103448276,0.0,4,282
0x00016fc0c9f7620e920e1423fd455f9574f48025,2,3145759276004.6475,1572879638002.3237,9340673253.725176,2,1460,0.0,0.0,1.0,0.0,0.0,1,214
0x0002761e848b24046a53d494847b11a3e1d36b09,1,1002262174437.4796,1002262174437.4796,,1,1462,0.0,0.0,1.0,0.0,0.0,1,212
0x00027e45436f11ec8549b7d5e0b86748ee61c13d,2,1.0112506095471125,0.5056253047735563,0.7149225575902196,2,1459,0.0,0.0,1.0,0.0,0.0,1,114
0x0003816b25fd3d6c112eb65c089760fa3f791947,4,2.013471483690053e+16,5033678709225132.0,2409753211610340.5,1,1516,0.25,0.25,0.25,0.25,0.0,4,242
0x0003bbb966655dc0fbbb380797b07fc547e9ddc5,37,551880524360193.7,14915689847572.803,59871471017704.73,20,1424,0.13513513513513514,0.0,0.32432432432432434,0.5405405405405406,0.0,3,202
0x0003d4fb942d0cad7fa1b658ad6d46ef6c15f11b,2,2098.9873081803526,1049.4936540901763,0.00016608589874236407,1,1527,0.0,0.0,0.5,0.5,0.0,2,132
0x0003f46779806fe779e7f30eec95dbdb4d45840b,24,7156.162418178757,298.17343409078154,250.58079603991496,6,1415,0.25,0.20833333333333334,0.3333333333333333,0.20833333333333334,0.0,4,159
0x0004849537dab5c33fc8c494d05313dfbe2d99f3,10,3378.8655391903794,337.88655391903796,280.77719086920524,6,1416,0.3,0.1,0.2,0.4,0.0,4,55
0x0004a89403e17f544bfbd25ecb1a7d9215a1d61b,2,2741759361949521.0,1370879680974760.5,1938716637215475.0,1,1417,0.5,0.0,0.5,0.0,0.0,2,122
0x0004d4112ee696dabc22b221bef156ecdaeb1a59,6,116097939177261.4,19349656529543.566,5117919230585.068,1,1518,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.3333333333333333,0.0,4,242
0x0005696d4be2359526c497fe4a4c0620b41f2426,7,1585548155036075.5,226506879290867.94,353716423932425.0,2,1499,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.5714285714285714,0.0,4,165
